u,v,key,length,highway,name,coordinates,가로수
436860494,7579130720,0,4.92765503172993,primary,안암로,"[[127.0347156, 37.5882727], [127.0346805, 37.5882382]]",True
436860746,3829107226,0,13.509336190652016,residential,정릉천동로,"[[127.0359525, 37.5828294], [127.035921, 37.5827105]]",True
436860746,436871811,0,109.1974777298582,residential,정릉천동로,"[[127.0359525, 37.5828294], [127.03621, 37.58379]]",True
436860746,3829007963,0,64.12937278254613,secondary,약령시로,"[[127.0359525, 37.5828294], [127.0366799, 37.5828475]]",True
436860746,3829007962,0,27.80157750115098,secondary,약령시로,"[[127.0359525, 37.5828294], [127.035637, 37.5828297]]",True
436860758,3829007995,0,78.94128038885302,secondary,홍릉로,"[[127.04424, 37.58312], [127.04406, 37.58375], [127.0440386, 37.5838117]]",True
436860758,3830520301,0,52.34562882017468,secondary,홍릉로,"[[127.04424, 37.58312], [127.04437, 37.5828], [127.0444115, 37.5826695]]",True
436860758,3829083171,0,42.26294208888329,secondary,약령시로,"[[127.04424, 37.58312], [127.04449, 37.58316], [127.0447095, 37.5831976]]",True
436860758,3829007972,0,59.79359271172037,secondary,약령시로,"[[127.04424, 37.58312], [127.04363, 37.58311], [127.0435617, 37.5831067]]",True
436860768,10017702166,0,64.91057071297963,secondary,약령시로,"[[127.0470473, 37.583267], [127.0475564, 37.5828451]]",True
436860768,10017702038,0,13.237505393889814,secondary,약령시로,"[[127.0470473, 37.583267], [127.0469481, 37.5833564]]",True
436860768,10017702072,0,43.794826760133326,service,,"[[127.0470473, 37.583267], [127.0467595, 37.5829459]]",True
436860769,436860770,0,27.05940874338741,secondary,약령시로,"[[127.0476382, 37.5827774], [127.0478504, 37.5826015]]",True
436860769,10017702166,0,10.422411384751726,secondary,약령시로,"[[127.0476382, 37.5827774], [127.0475564, 37.5828451]]",True
436860769,12392878466,0,8.482560578346838,service,,"[[127.0476382, 37.5827774], [127.047587, 37.5827128]]",True
436860769,12392878467,0,9.299997354447653,service,,"[[127.0476382, 37.5827774], [127.0475356, 37.5827578]]",True
436860770,436860769,0,27.05940874338741,secondary,약령시로,"[[127.0478504, 37.5826015], [127.0476382, 37.5827774]]",True
436860770,12392878459,0,13.792294265714222,primary_link,약령시로,"[[127.0478504, 37.5826015], [127.0479637, 37.5825728], [127.0480008, 37.5825681]]",True
436860770,9776807624,0,13.657793329313137,primary_link,약령시로,"[[127.0478504, 37.5826015], [127.0478853, 37.5825149], [127.04789, 37.5824832]]",True
436866826,8556013407,0,10.615213506856987,tertiary,회기로5길,"[[127.03929, 37.59126], [127.0393172, 37.591353]]",False
436866826,3828716089,0,14.934485910371547,secondary,회기로,"[[127.03929, 37.59126], [127.0394595, 37.59126]]",True
436866826,3828716090,0,8.044733830939718,secondary,회기로,"[[127.03929, 37.59126], [127.0391987, 37.5912607]]",False
436866826,3828715951,0,99.58188312655612,residential,제기로11길,"[[127.03929, 37.59126], [127.0392781, 37.5911474], [127.038938, 37.5904127]]",False
436867949,3831106928,0,28.03325802396151,tertiary,신이문로,"[[127.0631763, 37.603], [127.0634945, 37.6030025]]",True
436867949,3831106927,0,27.776404181439517,tertiary,신이문로,"[[127.0631763, 37.603], [127.062861, 37.603]]",True
436867949,3831106890,0,50.58387099708484,residential,신이문로6길,"[[127.0631763, 37.603], [127.0631723, 37.6025451]]",True
436867949,4159804916,0,31.184978858903477,residential,신이문로6길,"[[127.0631763, 37.603], [127.0632135, 37.6032789]]",True
436867953,3830770901,0,16.174269337984025,tertiary,신이문로,"[[127.0663, 37.60301], [127.0664836, 37.60301]]",True
